,id,imdb_id,budget,revenue,original_title,director,production_companies,release_year,budget_adj,revenue_adj,count,movie_count
0,135397,tt0369610,150000000,1513528810,Jurassic World,Colin Trevorrow,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,2015,137999939.280026,1392445892.5238,1,True
1,76341,tt1392190,150000000,378436354,Mad Max: Fury Road,George Miller,Village Roadshow Pictures|Kennedy Miller Productions,2015,137999939.280026,348161292.489031,1,True
2,262500,tt2908446,110000000,295238201,Insurgent,Robert Schwentke,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2015,101199955.47201899,271619025.407628,1,True
3,140607,tt2488496,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Lucasfilm|Truenorth Productions|Bad Robot,2015,183999919.040035,1902723129.80182,1,True
4,168259,tt2820852,190000000,1506249360,Furious 7,James Wan,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2015,174799923.08803302,1385748801.47052,1,True
5,281957,tt1663202,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,2015,124199945.352024,490314247.02173096,1,True
6,87101,tt1340138,155000000,440603537,Terminator Genisys,Alan Taylor,Paramount Pictures|Skydance Productions,2015,142599937.256027,405355075.683766,1,True
7,286217,tt3659388,108000000,595380321,The Martian,Ridley Scott,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,2015,99359956.2816192,547749654.3101519,1,True
8,211672,tt2293640,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Universal Pictures|Illumination Entertainment,2015,68079970.0448131,1064192016.7955099,1,True
9,150540,tt2096673,175000000,853708609,Inside Out,Pete Docter,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,2015,160999929.16003102,785411574.698907,1,True
10,206647,tt2379713,245000000,880674609,Spectre,Sam Mendes,Columbia Pictures|Danjaq|B24,2015,225399900.824043,810220283.783075,1,True
11,76757,tt1617661,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,2015,161919931.51523,169268630.681802,1,True
12,264660,tt0470752,15000000,36869414,Ex Machina,Alex Garland,DNA Films|Universal Pictures International (UPI)|Film4,2015,13799993.9280026,33919845.9552677,1,True
13,257344,tt2120120,88000000,243637091,Pixels,Chris Columbus,Columbia Pictures|Happy Madison Productions,2015,80959964.37761559,224146025.095748,1,True
14,99861,tt2395427,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Marvel Studios|Prime Focus|Revolution Sun Studios,2015,257599886.656049,1292632336.88177,1,True
15,273248,tt3460252,44000000,155760117,The Hateful Eight,Quentin Tarantino,Double Feature Films|The Weinstein Company|FilmColony,2015,40479982.18880779,143299244.588332,1,True
16,260346,tt2446042,48000000,325771424,Taken 3,Olivier Megaton,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,2015,44159980.5696085,299709578.207785,1,True
17,102899,tt0478970,130000000,518602163,Ant-Man,Peyton Reed,Marvel Studios,2015,119599947.376023,477113780.029936,1,True
18,150689,tt1661199,95000000,542351353,Cinderella,Kenneth Branagh,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,2015,87399961.54401691,498963025.21626794,1,True
19,131634,tt1951266,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2015,147199935.232028,598481289.508232,1,True
20,158852,tt1964418,190000000,209035668,Tomorrowland,Brad Bird,Walt Disney Pictures|Babieka|A113,2015,174799923.08803302,192312729.942398,1,True
21,307081,tt1798684,30000000,91709827,Southpaw,Antoine Fuqua,Escape Artists|Riche-Ludwig Productions,2015,27599987.856005296,84373003.7158783,1,True
22,254128,tt2126355,110000000,470490832,San Andreas,Brad Peyton,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2015,101199955.47201899,432851374.985395,1,True
23,216015,tt2322441,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,Focus Features|Trigger Street Productions|Michael De Luca Productions,2015,36799983.808007106,524079119.045187,1,True
24,318846,tt1596363,28000000,133346506,The Big Short,Adam McKay,Paramount Pictures|Plan B Entertainment|Regency Enterprises,2015,25759988.665604897,122678731.54135801,1,True
25,177677,tt2381249,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2015,137999939.280026,627743451.672881,1,True
26,214756,tt2637276,68000000,215863606,Ted 2,Seth MacFarlane,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,2015,62559972.4736121,198594430.13845,1,True
27,207703,tt2802144,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,2015,74519967.21121441,371497801.660967,1,True
28,314365,tt1895587,20000000,88346473,Spotlight,Tom McCarthy,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,2015,18399991.9040035,81278719.39736341,1,True
29,294254,tt4046784,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,Gotham Group|Temple Hill Entertainment|TSG Entertainment,2015,56119975.30721079,286356245.923251,1,True
30,280996,tt3168230,0,29355203,Mr. Holmes,Bill Condon,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,2015,0.0,27006774.877019,1,True
31,198184,tt1823672,49000000,102069268,Chappie,Neill Blomkamp,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,2015,45079980.164808705,93903685.2423785,1,True
32,254470,tt2848292,29000000,287506194,Pitch Perfect 2,Elizabeth Banks,Universal Pictures|Gold Circle Films|Brownstone Productions,2015,26679988.260805104,264505582.09754303,1,True
33,296098,tt3682448,40000000,162610473,Bridge of Spies,Steven Spielberg,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,2015,36799983.808007106,149601569.335309,1,True
34,257445,tt1051904,58000000,150170815,Goosebumps,Rob Letterman,Columbia Pictures|Original Film|Scholastic Entertainment,2015,53359976.5216103,138157089.01088,1,True
35,264644,tt3170832,6000000,35401758,Room,Lenny Abrahamson,Element Pictures|No Trace Camping|A24|Duperele Films,2015,5519997.57120106,32569603.029374603,1,True
36,339527,tt1291570,0,22354572,Solace,Afonso Poyart,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,2015,0.0,20566197.1908732,1,True
37,105864,tt1979388,175000000,331926147,The Good Dinosaur,Peter Sohn,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,2015,160999929.16003102,305371920.876354,1,True
38,241554,tt2199571,50000000,71561644,Run All Night,Jaume Collet-Serra,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,2015,45999979.7600089,65836683.5118592,1,True
39,167073,tt2381111,11000000,62076141,Brooklyn,John Crowley,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,2015,10119995.5472019,57110024.5915891,1,True
40,277216,tt1398426,28000000,201634991,Straight Outta Compton,F. Gary Gray,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,2015,25759988.665604897,185504110.098191,1,True
41,274854,tt1618442,90000000,140396650,The Last Witch Hunter,Breck Eisner,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,2015,82799963.56801601,129164861.16746101,1,True
42,321697,tt2080374,30000000,34441873,Steve Jobs,Danny Boyle,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,2015,27599987.856005296,31686509.2179359,1,True
43,203801,tt1638355,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,2015,68999969.64001329,99493456.50287908,1,True
44,293863,tt1655441,25000000,42629776,The Age of Adaline,Lee Toland Krieger,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,2015,22999989.8800044,39219376.6634742,1,True
45,325348,tt3072482,10000000,14333790,Hardcore Henry,Ilya Naishuller,Bazelevs Production|Versus Pictures,2015,9199995.95200178,13187080.9976843,1,True
46,228161,tt2224026,135000000,368871007,Home,Tim Johnson,Twentieth Century Fox Film Corporation|DreamWorks Animation,2015,124199945.352024,339361177.121082,1,True
47,286565,tt3622592,12000000,85512300,Paper Towns,Jake Schreier,Fox 2000 Pictures,2015,11039995.1424021,78671281.38463621,1,True
48,265208,tt2231253,30000000,0,Wild Card,Simon West,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,2015,27599987.856005296,0.0,1,True
49,254320,tt3464902,4000000,9064511,The Lobster,Yorgos Lanthimos,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,2015,3679998.38080071,8339346.45068756,1,True
50,258480,tt2402927,11800000,40272135,Carol,Todd Haynes,Killer Films|Film4|Number 9 Films,2015,10855995.2233621,37050347.8978469,1,True
51,257211,tt2361509,35000000,194564672,The Intern,Nancy Meyers,Waverly Films|Warner Bros.,2015,32199985.8320062,178999419.480255,1,True
52,253412,tt2719848,55000000,203427584,Everest,Baltasar KormÃ¡kur,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,2015,50599977.7360098,187153294.93255,1,True
53,274479,tt2446980,60000000,101134059,Joy,David O. Russell,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,2015,55199975.71201059,93043293.3409509,1,True
54,257088,tt2058673,105000000,133718711,Point Break,Ericson Core,Studio Babelsberg|Alcon Entertainment|DMG Entertainment|Ehman Productions,2015,96599957.49601871,123021159.990689,1,True
55,295964,tt2503944,20000000,36606743,Burnt,John Wells,Double Feature Films|PeaPie Films|3 Arts Entertainment,2015,18399991.9040035,33678188.7415969,1,True
56,238615,tt2140379,26000000,30523226,Self/less,Tarsem Singh,Endgame Entertainment|Ram Bergman Productions,2015,23919989.475204602,28081355.564203497,1,True
57,210860,tt3045616,60000000,30418560,Mortdecai,David Koepp,Lionsgate|Mad Chance|OddLot Entertainment|Huayi Brothers Media,2015,55199975.71201059,27985062.8865723,1,True
58,306819,tt0810819,15000000,64191523,The Danish Girl,Tom Hooper,Pretty Pictures|Working Title Films|ArtÃ©mis Productions|Le Tax Shelter du Gouvernement FÃ©dÃ©ral de Belgique|Taxshelter. be,2015,13799993.9280026,59056175.175282896,1,True
59,201088,tt2717822,70000000,17752940,Blackhat,Michael Mann,Universal Pictures|Forward Pass|Legendary Pictures,2015,64399971.6640124,16332697.613613,1,True
60,273481,tt3397884,30000000,84025816,Sicario,Denis Villeneuve,Lionsgate|Thunder Road Pictures|Black Label Media,2015,27599987.856005296,77303716.7063646,1,True
61,166424,tt1502712,120000001,167977596,Fantastic Four,Josh Trank,Twentieth Century Fox Film Corporation|Marv Films|Marvel Entertainment|Constantin Film.|Moving Picture Company (MPC),2015,110399952.34402,154539320.322699,1,True
62,310131,tt4263482,3500000,40423945,The Witch,Robert Eggers,Parts and Labor|RT Features|Rooks Nest Entertainment|Maiden Voyage Pictures|Pulse Films,2015,3219998.58320062,37190013.0363942,1,True
63,238713,tt3079380,65000000,235666219,Spy,Paul Feig,Twentieth Century Fox Film Corporation|Chernin Entertainment|Feigco Entertainment,2015,59799973.6880115,216812826.082356,1,True
64,256591,tt2381941,50100000,153962963,Focus,Glenn Ficarra|John Requa,Kramer & Sigman Films|RatPac-Dune Entertainment|Zaftig Films,2015,46091979.7195289,141645863.63582,1,True
65,249070,tt2679042,35000000,82347656,Hitman: Agent 47,Aleksander Bach,Twentieth Century Fox Film Corporation|Fox International Productions|Infinite Frameworks Studios|TSG Entertainment,2015,32199985.8320062,75759810.18568349,1,True
66,205775,tt1390411,100000000,93820758,In the Heart of the Sea,Ron Howard,Imagine Entertainment|Spring Creek Productions|Warner Bros.|Roth Films|K. JAM Media,2015,91999959.5200178,86315059.3813738,1,True
67,334074,tt3247714,20000000,0,Survivor,James McTeigue,Nu Image Films|Winkler Films|Millennium Films|Survivor Productions,2015,18399991.9040035,0.0,1,True
68,312221,tt3076658,35000000,137935567,Creed,Ryan Coogler,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Chartoff-Winkler Productions,2015,32199985.8320062,126900665.803707,1,True
69,271718,tt3152624,35000000,140795793,Trainwreck,Judd Apatow,Universal Pictures|Fuji Television Network|Dentsu|Apatow Productions,2015,32199985.8320062,129532072.56588799,1,True
70,333352,tt2057392,13000000,32848185,Eye in the Sky,Gavin Hood,Entertainment One|Moonlighting Films|Raindog Films,2015,11959994.737602301,30220316.9030605,1,True
71,276907,tt3569230,25000000,42972994,Legend,Brian Helgeland,Working Title Films|Cross Creek Pictures|Anton Capital Entertainment (ACE),2015,22999989.8800044,39535137.0845396,1,True
72,284289,tt2911668,0,45895,Beyond the Reach,Jean-Baptiste LÃ©onetti,Furthur Films,2015,0.0,42223.381421712096,1,True
73,266647,tt3332064,150000000,128388320,Pan,Joe Wright,Warner Bros.|Moving Picture Company (MPC)|Berlanti Productions|RatPac-Dune Entertainment,2015,137999939.280026,118117202.42843,1,True
74,347096,tt3478232,0,0,Mythica: The Darkspore,Anne K. Black,Arrowstorm Entertainment,2015,0.0,0.0,1,True
75,308369,tt2582496,0,0,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Indian Paintbrush,2015,0.0,0.0,1,True
76,227973,tt2452042,99000000,246233113,The Peanuts Movie,Steve Martino,Blue Sky Studios|Twentieth Century Fox Animation|Feigco Entertainment,2015,91079959.92481759,226534364.284879,1,True
77,321741,tt3322364,35000000,48623572,Concussion,Peter Landesman,Village Roadshow Pictures|Scott Free Productions|LStar Capital|The Cantillon Company|The Shuman Company,2015,32199985.8320062,44733666.5571867,1,True
